#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NLGN2	DLG4	0	0	0	0	0	0	0	0	0	0	0.998
NLGN2	NRXN1	0	0	0	0	0	0	0	0	0	0	0.999
HOMER2	GRIA1	0	0	0	0	0	0	0	0	0	0	0.4
HOMER2	GRIN1	0	0	0	0	0	0	0	0	0	0	0.42
HOMER2	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.478
HOMER2	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.502
HOMER2	CTTN	0	0	0	0	0	0	0	0	0	0	0.513
HOMER2	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.596
HOMER2	NRXN1	0	0	0	0	0	0	0	0	0	0	0.605
HOMER2	DLG2	0	0	0	0	0	0	0	0	0	0	0.61
HOMER2	DLG3	0	0	0	0	0	0	0	0	0	0	0.613
HOMER2	NLGN1	0	0	0	0	0	0	0	0	0	0	0.618
HOMER2	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.637
HOMER2	NLGN3	0	0	0	0	0	0	0	0	0	0	0.641
HOMER2	DLGAP3	0	0	0	0	0	0	0	0	0	0	0.666
HOMER2	SHANK3	0	0	0	0	0	0	0	0	0	0	0.758
HOMER2	DLG4	0	0	0	0	0	0	0	0	0	0	0.779
HOMER2	SHANK2	0	0	0	0	0	0	0	0	0	0	0.782
HOMER2	DLGAP1	0	0	0	0	0	0	0	0	0	0	0.857
HOMER2	GRM5	0	0	0	0	0	0	0	0	0	0	0.965
HOMER2	HOMER3	0	0	0	0	0	0	0	0	0	0	0.99
HOMER2	HOMER1	0	0	0	0	0	0	0	0	0	0	0.991
GRM5	CTTN	0	0	0	0	0	0	0	0	0	0	0.486
GRM5	GRIK2	0	0	0	0	0	0	0	0	0	0	0.584
GRM5	DLG3	0	0	0	0	0	0	0	0	0	0	0.642
GRM5	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.686
GRM5	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.696
GRM5	DLG2	0	0	0	0	0	0	0	0	0	0	0.702
GRM5	NLGN1	0	0	0	0	0	0	0	0	0	0	0.716
GRM5	NLGN3	0	0	0	0	0	0	0	0	0	0	0.735
GRM5	NRXN1	0	0	0	0	0	0	0	0	0	0	0.766
GRM5	DLGAP3	0	0	0	0	0	0	0	0	0	0	0.786
GRM5	GRIN1	0	0	0	0	0	0	0	0	0	0	0.792
GRM5	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.841
GRM5	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.842
GRM5	SHANK2	0	0	0	0	0	0	0	0	0	0	0.869
GRM5	SHANK3	0	0	0	0	0	0	0	0	0	0	0.88
GRM5	DLG4	0	0	0	0	0	0	0	0	0	0	0.902
GRM5	DLGAP1	0	0	0	0	0	0	0	0	0	0	0.915
GRM5	GRIA1	0	0	0	0	0	0	0	0	0	0	0.916
GRM5	HOMER3	0	0	0	0	0	0	0	0	0	0	0.929
GRM5	HOMER1	0	0	0	0	0	0	0	0	0	0	0.999
DLGAP1	GRIK2	0	0	0	0	0	0	0	0	0	0	0.487
DLGAP1	GRIN1	0	0	0	0	0	0	0	0	0	0	0.57
DLGAP1	ARHGEF7	0	0	0	0	0	0	0	0	0	0	0.582
DLGAP1	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.704
DLGAP1	DLGAP3	0	0	0	0	0	0	0	0	0	0	0.724
DLGAP1	NRXN1	0	0	0	0	0	0	0	0	0	0	0.774
DLGAP1	KCNA4	0	0	0	0	0	0	0	0	0	0	0.786
DLGAP1	CTTN	0	0	0	0	0	0	0	0	0	0	0.834
DLGAP1	GRIA1	0	0	0	0	0	0	0	0	0	0	0.852
DLGAP1	NLGN3	0	0	0	0	0	0	0	0	0	0	0.855
DLGAP1	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.861
DLGAP1	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.885
DLGAP1	DLG3	0	0	0	0	0	0	0	0	0	0	0.887
DLGAP1	DLG2	0	0	0	0	0	0	0	0	0	0	0.89
DLGAP1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.9
DLGAP1	NLGN1	0	0	0	0	0	0	0	0	0	0	0.927
DLGAP1	HOMER3	0	0	0	0	0	0	0	0	0	0	0.943
DLGAP1	DLG1	0	0	0	0	0	0	0	0	0	0	0.952
DLGAP1	SHANK2	0	0	0	0	0	0	0	0	0	0	0.981
DLGAP1	HOMER1	0	0	0	0	0	0	0	0	0	0	0.986
DLGAP1	SHANK3	0	0	0	0	0	0	0	0	0	0	0.997
